masco_code,masco_code_printed,role_title,source_parent_group_code,flexible_role,profile_text
231111,2311-11,"Lecturer, College",2311,False,"Lecturer, College. University and Higher Education T eaching Professionals prepare and deliver lectures and conduct tutorials in one or more subjects within a prescribed course of study at a university or other higher educational institution. They conduct research and prepare academic papers and books.. delivering lectures and conducting tutorials, research and releasing publications. giving lectures, supervising thesis projects, managing practical work/tutorials and preparing lecture notes/laboratory manuals. conducting examination matters, monitoring the practical training of students, assisting in reviewing / preparing the curriculum / syllabus, engaging in research work and undertaking student development work. providing consultancy services to students and outsiders, supervising projects, theses and student papers, conducting research, publishing journals, articles, books and other forms of related publications, services, performing community and professional services, helping students develop their potential and character, and managing academic-related activities. designing and modifying the curricula and preparing courses of study in accordance with the requirements. encouraging discussion and independent thinking among students. conducting research and developing concepts, theories and operational methods for application in the industry and other fields. assisting in co-curricular activities. performing related tasks; and. enhancing knowledge and coordinating work performance."
231112,2311-12,"Lecturer, Polytechnic",2311,False,"Lecturer, Polytechnic. University and Higher Education T eaching Professionals prepare and deliver lectures and conduct tutorials in one or more subjects within a prescribed course of study at a university or other higher educational institution. They conduct research and prepare academic papers and books.. delivering lectures and conducting tutorials, research and releasing publications. giving lectures, supervising thesis projects, managing practical work/tutorials and preparing lecture notes/laboratory manuals. conducting examination matters, monitoring the practical training of students, assisting in reviewing / preparing the curriculum / syllabus, engaging in research work and undertaking student development work. providing consultancy services to students and outsiders, supervising projects, theses and student papers, conducting research, publishing journals, articles, books and other forms of related publications, services, performing community and professional services, helping students develop their potential and character, and managing academic-related activities. designing and modifying the curricula and preparing courses of study in accordance with the requirements. encouraging discussion and independent thinking among students. conducting research and developing concepts, theories and operational methods for application in the industry and other fields. assisting in co-curricular activities. performing related tasks; and. enhancing knowledge and coordinating work performance."
231113,2311-13,"Lecturer, University",2311,False,"Lecturer, University. University and Higher Education T eaching Professionals prepare and deliver lectures and conduct tutorials in one or more subjects within a prescribed course of study at a university or other higher educational institution. They conduct research and prepare academic papers and books.. delivering lectures and conducting tutorials, research and releasing publications. giving lectures, supervising thesis projects, managing practical work/tutorials and preparing lecture notes/laboratory manuals. conducting examination matters, monitoring the practical training of students, assisting in reviewing / preparing the curriculum / syllabus, engaging in research work and undertaking student development work. providing consultancy services to students and outsiders, supervising projects, theses and student papers, conducting research, publishing journals, articles, books and other forms of related publications, services, performing community and professional services, helping students develop their potential and character, and managing academic-related activities. designing and modifying the curricula and preparing courses of study in accordance with the requirements. encouraging discussion and independent thinking among students. conducting research and developing concepts, theories and operational methods for application in the industry and other fields. assisting in co-curricular activities. performing related tasks; and. enhancing knowledge and coordinating work performance."
231114,2311-14,"Professor, University",2311,False,"Professor, University. University and Higher Education T eaching Professionals prepare and deliver lectures and conduct tutorials in one or more subjects within a prescribed course of study at a university or other higher educational institution. They conduct research and prepare academic papers and books.. delivering lectures and conducting tutorials, research and releasing publications. giving lectures, supervising thesis projects, managing practical work/tutorials and preparing lecture notes/laboratory manuals. conducting examination matters, monitoring the practical training of students, assisting in reviewing / preparing the curriculum / syllabus, engaging in research work and undertaking student development work. providing consultancy services to students and outsiders, supervising projects, theses and student papers, conducting research, publishing journals, articles, books and other forms of related publications, services, performing community and professional services, helping students develop their potential and character, and managing academic-related activities. designing and modifying the curricula and preparing courses of study in accordance with the requirements. encouraging discussion and independent thinking among students. conducting research and developing concepts, theories and operational methods for application in the industry and other fields. assisting in co-curricular activities. performing related tasks; and. enhancing knowledge and coordinating work performance."
231115,2311-15,"Professor, College",2311,False,"Professor, College. University and Higher Education T eaching Professionals prepare and deliver lectures and conduct tutorials in one or more subjects within a prescribed course of study at a university or other higher educational institution. They conduct research and prepare academic papers and books.. delivering lectures and conducting tutorials, research and releasing publications. giving lectures, supervising thesis projects, managing practical work/tutorials and preparing lecture notes/laboratory manuals. conducting examination matters, monitoring the practical training of students, assisting in reviewing / preparing the curriculum / syllabus, engaging in research work and undertaking student development work. providing consultancy services to students and outsiders, supervising projects, theses and student papers, conducting research, publishing journals, articles, books and other forms of related publications, services, performing community and professional services, helping students develop their potential and character, and managing academic-related activities. designing and modifying the curricula and preparing courses of study in accordance with the requirements. encouraging discussion and independent thinking among students. conducting research and developing concepts, theories and operational methods for application in the industry and other fields. assisting in co-curricular activities. performing related tasks; and. enhancing knowledge and coordinating work performance."
231116,2311-16,"Tutor, University",2311,False,"Tutor, University. University and Higher Education T eaching Professionals prepare and deliver lectures and conduct tutorials in one or more subjects within a prescribed course of study at a university or other higher educational institution. They conduct research and prepare academic papers and books.. delivering lectures and conducting tutorials, research and releasing publications. giving lectures, supervising thesis projects, managing practical work/tutorials and preparing lecture notes/laboratory manuals. conducting examination matters, monitoring the practical training of students, assisting in reviewing / preparing the curriculum / syllabus, engaging in research work and undertaking student development work. providing consultancy services to students and outsiders, supervising projects, theses and student papers, conducting research, publishing journals, articles, books and other forms of related publications, services, performing community and professional services, helping students develop their potential and character, and managing academic-related activities. designing and modifying the curricula and preparing courses of study in accordance with the requirements. encouraging discussion and independent thinking among students. conducting research and developing concepts, theories and operational methods for application in the industry and other fields. assisting in co-curricular activities. performing related tasks; and. enhancing knowledge and coordinating work performance."
231117,2311-17,Pharmacy Lecturer Grade DUF45,2311,False,"Pharmacy Lecturer Grade DUF45. University and Higher Education T eaching Professionals prepare and deliver lectures and conduct tutorials in one or more subjects within a prescribed course of study at a university or other higher educational institution. They conduct research and prepare academic papers and books.. delivering lectures and conducting tutorials, research and releasing publications. giving lectures, supervising thesis projects, managing practical work/tutorials and preparing lecture notes/laboratory manuals. conducting examination matters, monitoring the practical training of students, assisting in reviewing / preparing the curriculum / syllabus, engaging in research work and undertaking student development work. providing consultancy services to students and outsiders, supervising projects, theses and student papers, conducting research, publishing journals, articles, books and other forms of related publications, services, performing community and professional services, helping students develop their potential and character, and managing academic-related activities. designing and modifying the curricula and preparing courses of study in accordance with the requirements. encouraging discussion and independent thinking among students. conducting research and developing concepts, theories and operational methods for application in the industry and other fields. assisting in co-curricular activities. performing related tasks; and. enhancing knowledge and coordinating work performance."
231118,2311-18,Higher Learning Education Officer Grade DH31,2311,False,"Higher Learning Education Officer Grade DH31. University and Higher Education T eaching Professionals prepare and deliver lectures and conduct tutorials in one or more subjects within a prescribed course of study at a university or other higher educational institution. They conduct research and prepare academic papers and books.. delivering lectures and conducting tutorials, research and releasing publications. giving lectures, supervising thesis projects, managing practical work/tutorials and preparing lecture notes/laboratory manuals. conducting examination matters, monitoring the practical training of students, assisting in reviewing / preparing the curriculum / syllabus, engaging in research work and undertaking student development work. providing consultancy services to students and outsiders, supervising projects, theses and student papers, conducting research, publishing journals, articles, books and other forms of related publications, services, performing community and professional services, helping students develop their potential and character, and managing academic-related activities. designing and modifying the curricula and preparing courses of study in accordance with the requirements. encouraging discussion and independent thinking among students. conducting research and developing concepts, theories and operational methods for application in the industry and other fields. assisting in co-curricular activities. performing related tasks; and. enhancing knowledge and coordinating work performance."
231119,2311-19,Higher Learning Education Officer Grade DH33,2311,False,"Higher Learning Education Officer Grade DH33. University and Higher Education T eaching Professionals prepare and deliver lectures and conduct tutorials in one or more subjects within a prescribed course of study at a university or other higher educational institution. They conduct research and prepare academic papers and books.. delivering lectures and conducting tutorials, research and releasing publications. giving lectures, supervising thesis projects, managing practical work/tutorials and preparing lecture notes/laboratory manuals. conducting examination matters, monitoring the practical training of students, assisting in reviewing / preparing the curriculum / syllabus, engaging in research work and undertaking student development work. providing consultancy services to students and outsiders, supervising projects, theses and student papers, conducting research, publishing journals, articles, books and other forms of related publications, services, performing community and professional services, helping students develop their potential and character, and managing academic-related activities. designing and modifying the curricula and preparing courses of study in accordance with the requirements. encouraging discussion and independent thinking among students. conducting research and developing concepts, theories and operational methods for application in the industry and other fields. assisting in co-curricular activities. performing related tasks; and. enhancing knowledge and coordinating work performance."
231120,2311-20,Higher Learning Education Officer Grade DH39,2311,False,"Higher Learning Education Officer Grade DH39. University and Higher Education T eaching Professionals prepare and deliver lectures and conduct tutorials in one or more subjects within a prescribed course of study at a university or other higher educational institution. They conduct research and prepare academic papers and books.. delivering lectures and conducting tutorials, research and releasing publications. giving lectures, supervising thesis projects, managing practical work/tutorials and preparing lecture notes/laboratory manuals. conducting examination matters, monitoring the practical training of students, assisting in reviewing / preparing the curriculum / syllabus, engaging in research work and undertaking student development work. providing consultancy services to students and outsiders, supervising projects, theses and student papers, conducting research, publishing journals, articles, books and other forms of related publications, services, performing community and professional services, helping students develop their potential and character, and managing academic-related activities. designing and modifying the curricula and preparing courses of study in accordance with the requirements. encouraging discussion and independent thinking among students. conducting research and developing concepts, theories and operational methods for application in the industry and other fields. assisting in co-curricular activities. performing related tasks; and. enhancing knowledge and coordinating work performance."
231121,2311-21,Higher Learning Education Officer Grade DH43,2311,False,"Higher Learning Education Officer Grade DH43. University and Higher Education T eaching Professionals prepare and deliver lectures and conduct tutorials in one or more subjects within a prescribed course of study at a university or other higher educational institution. They conduct research and prepare academic papers and books.. delivering lectures and conducting tutorials, research and releasing publications. giving lectures, supervising thesis projects, managing practical work/tutorials and preparing lecture notes/laboratory manuals. conducting examination matters, monitoring the practical training of students, assisting in reviewing / preparing the curriculum / syllabus, engaging in research work and undertaking student development work. providing consultancy services to students and outsiders, supervising projects, theses and student papers, conducting research, publishing journals, articles, books and other forms of related publications, services, performing community and professional services, helping students develop their potential and character, and managing academic-related activities. designing and modifying the curricula and preparing courses of study in accordance with the requirements. encouraging discussion and independent thinking among students. conducting research and developing concepts, theories and operational methods for application in the industry and other fields. assisting in co-curricular activities. performing related tasks; and. enhancing knowledge and coordinating work performance."
231122,2311-22,Higher Learning Education Officer Grade DH47,2311,False,"Higher Learning Education Officer Grade DH47. University and Higher Education T eaching Professionals prepare and deliver lectures and conduct tutorials in one or more subjects within a prescribed course of study at a university or other higher educational institution. They conduct research and prepare academic papers and books.. delivering lectures and conducting tutorials, research and releasing publications. giving lectures, supervising thesis projects, managing practical work/tutorials and preparing lecture notes/laboratory manuals. conducting examination matters, monitoring the practical training of students, assisting in reviewing / preparing the curriculum / syllabus, engaging in research work and undertaking student development work. providing consultancy services to students and outsiders, supervising projects, theses and student papers, conducting research, publishing journals, articles, books and other forms of related publications, services, performing community and professional services, helping students develop their potential and character, and managing academic-related activities. designing and modifying the curricula and preparing courses of study in accordance with the requirements. encouraging discussion and independent thinking among students. conducting research and developing concepts, theories and operational methods for application in the industry and other fields. assisting in co-curricular activities. performing related tasks; and. enhancing knowledge and coordinating work performance."
231123,2311-23,Higher Learning Education Officer Grade DH51,2311,False,"Higher Learning Education Officer Grade DH51. University and Higher Education T eaching Professionals prepare and deliver lectures and conduct tutorials in one or more subjects within a prescribed course of study at a university or other higher educational institution. They conduct research and prepare academic papers and books.. delivering lectures and conducting tutorials, research and releasing publications. giving lectures, supervising thesis projects, managing practical work/tutorials and preparing lecture notes/laboratory manuals. conducting examination matters, monitoring the practical training of students, assisting in reviewing / preparing the curriculum / syllabus, engaging in research work and undertaking student development work. providing consultancy services to students and outsiders, supervising projects, theses and student papers, conducting research, publishing journals, articles, books and other forms of related publications, services, performing community and professional services, helping students develop their potential and character, and managing academic-related activities. designing and modifying the curricula and preparing courses of study in accordance with the requirements. encouraging discussion and independent thinking among students. conducting research and developing concepts, theories and operational methods for application in the industry and other fields. assisting in co-curricular activities. performing related tasks; and. enhancing knowledge and coordinating work performance."
231124,2311-24,Higher Learning Education Officer Grade DH53,2311,False,"Higher Learning Education Officer Grade DH53. University and Higher Education T eaching Professionals prepare and deliver lectures and conduct tutorials in one or more subjects within a prescribed course of study at a university or other higher educational institution. They conduct research and prepare academic papers and books.. delivering lectures and conducting tutorials, research and releasing publications. giving lectures, supervising thesis projects, managing practical work/tutorials and preparing lecture notes/laboratory manuals. conducting examination matters, monitoring the practical training of students, assisting in reviewing / preparing the curriculum / syllabus, engaging in research work and undertaking student development work. providing consultancy services to students and outsiders, supervising projects, theses and student papers, conducting research, publishing journals, articles, books and other forms of related publications, services, performing community and professional services, helping students develop their potential and character, and managing academic-related activities. designing and modifying the curricula and preparing courses of study in accordance with the requirements. encouraging discussion and independent thinking among students. conducting research and developing concepts, theories and operational methods for application in the industry and other fields. assisting in co-curricular activities. performing related tasks; and. enhancing knowledge and coordinating work performance."
231125,2311-25,UiTM Lecturer Grade DM45,2311,False,"UiTM Lecturer Grade DM45. University and Higher Education T eaching Professionals prepare and deliver lectures and conduct tutorials in one or more subjects within a prescribed course of study at a university or other higher educational institution. They conduct research and prepare academic papers and books.. delivering lectures and conducting tutorials, research and releasing publications. giving lectures, supervising thesis projects, managing practical work/tutorials and preparing lecture notes/laboratory manuals. conducting examination matters, monitoring the practical training of students, assisting in reviewing / preparing the curriculum / syllabus, engaging in research work and undertaking student development work. providing consultancy services to students and outsiders, supervising projects, theses and student papers, conducting research, publishing journals, articles, books and other forms of related publications, services, performing community and professional services, helping students develop their potential and character, and managing academic-related activities. designing and modifying the curricula and preparing courses of study in accordance with the requirements. encouraging discussion and independent thinking among students. conducting research and developing concepts, theories and operational methods for application in the industry and other fields. assisting in co-curricular activities. performing related tasks; and. enhancing knowledge and coordinating work performance."
231126,2311-26,UiTM Lecturer Grade DM51,2311,False,"UiTM Lecturer Grade DM51. University and Higher Education T eaching Professionals prepare and deliver lectures and conduct tutorials in one or more subjects within a prescribed course of study at a university or other higher educational institution. They conduct research and prepare academic papers and books.. delivering lectures and conducting tutorials, research and releasing publications. giving lectures, supervising thesis projects, managing practical work/tutorials and preparing lecture notes/laboratory manuals. conducting examination matters, monitoring the practical training of students, assisting in reviewing / preparing the curriculum / syllabus, engaging in research work and undertaking student development work. providing consultancy services to students and outsiders, supervising projects, theses and student papers, conducting research, publishing journals, articles, books and other forms of related publications, services, performing community and professional services, helping students develop their potential and character, and managing academic-related activities. designing and modifying the curricula and preparing courses of study in accordance with the requirements. encouraging discussion and independent thinking among students. conducting research and developing concepts, theories and operational methods for application in the industry and other fields. assisting in co-curricular activities. performing related tasks; and. enhancing knowledge and coordinating work performance."
231127,2311-27,UiTM Lecturer Grade DM53,2311,False,"UiTM Lecturer Grade DM53. University and Higher Education T eaching Professionals prepare and deliver lectures and conduct tutorials in one or more subjects within a prescribed course of study at a university or other higher educational institution. They conduct research and prepare academic papers and books.. delivering lectures and conducting tutorials, research and releasing publications. giving lectures, supervising thesis projects, managing practical work/tutorials and preparing lecture notes/laboratory manuals. conducting examination matters, monitoring the practical training of students, assisting in reviewing / preparing the curriculum / syllabus, engaging in research work and undertaking student development work. providing consultancy services to students and outsiders, supervising projects, theses and student papers, conducting research, publishing journals, articles, books and other forms of related publications, services, performing community and professional services, helping students develop their potential and character, and managing academic-related activities. designing and modifying the curricula and preparing courses of study in accordance with the requirements. encouraging discussion and independent thinking among students. conducting research and developing concepts, theories and operational methods for application in the industry and other fields. assisting in co-curricular activities. performing related tasks; and. enhancing knowledge and coordinating work performance."
231128,2311-28,University Lecturer Grade DS51,2311,False,"University Lecturer Grade DS51. University and Higher Education T eaching Professionals prepare and deliver lectures and conduct tutorials in one or more subjects within a prescribed course of study at a university or other higher educational institution. They conduct research and prepare academic papers and books.. delivering lectures and conducting tutorials, research and releasing publications. giving lectures, supervising thesis projects, managing practical work/tutorials and preparing lecture notes/laboratory manuals. conducting examination matters, monitoring the practical training of students, assisting in reviewing / preparing the curriculum / syllabus, engaging in research work and undertaking student development work. providing consultancy services to students and outsiders, supervising projects, theses and student papers, conducting research, publishing journals, articles, books and other forms of related publications, services, performing community and professional services, helping students develop their potential and character, and managing academic-related activities. designing and modifying the curricula and preparing courses of study in accordance with the requirements. encouraging discussion and independent thinking among students. conducting research and developing concepts, theories and operational methods for application in the industry and other fields. assisting in co-curricular activities. performing related tasks; and. enhancing knowledge and coordinating work performance."
231129,2311-29,University Lecturer Grade DS53,2311,False,"University Lecturer Grade DS53. University and Higher Education T eaching Professionals prepare and deliver lectures and conduct tutorials in one or more subjects within a prescribed course of study at a university or other higher educational institution. They conduct research and prepare academic papers and books.. delivering lectures and conducting tutorials, research and releasing publications. giving lectures, supervising thesis projects, managing practical work/tutorials and preparing lecture notes/laboratory manuals. conducting examination matters, monitoring the practical training of students, assisting in reviewing / preparing the curriculum / syllabus, engaging in research work and undertaking student development work. providing consultancy services to students and outsiders, supervising projects, theses and student papers, conducting research, publishing journals, articles, books and other forms of related publications, services, performing community and professional services, helping students develop their potential and character, and managing academic-related activities. designing and modifying the curricula and preparing courses of study in accordance with the requirements. encouraging discussion and independent thinking among students. conducting research and developing concepts, theories and operational methods for application in the industry and other fields. assisting in co-curricular activities. performing related tasks; and. enhancing knowledge and coordinating work performance."
